T  [K]	avNw_L1	avNw_L2	avNw_L3	avNw_L4	avNw_L5	avNw_L6	avNw_L7	avNw_L8	avNw2_L1	avNw2_L2	avNw2_L3	avNw2_L4	avNw2_L5	avNw2_L6	avNw2_L7	avNw2_L8	avUNw_L1	avUNw_L2	avUNw_L3	avUNw_L4	avUNw_L5	avUNw_L6	avUNw_L7	avUNw_L8	avU_L1	avU_L2	avU_L3	avU_L4	avU_L5	avU_L6	avU_L7	avU_L8	avPx_L1	avPx_L2	avPx_L3	avPx_L4	avPx_L5	avPx_L6	avPx_L7	avPx_L8	avPy_L1	avPy_L2	avPy_L3	avPy_L4	avPy_L5	avPy_L6	avPy_L7	avPy_L8	avPz_L1	avPz_L2	avPz_L3	avPz_L4	avPz_L5	avPz_L6	avPz_L7	avPz_L8	avPtotal_L1	avPtotal_L2	avPtotal_L3	avPtotal_L4	avPtotal_L5	avPtotal_L6	avPtotal_L7	avPtotal_L8	avVv_L1	avVv_L2	avVv_L3	avVv_L4	avVv_L5	avVv_L6	avVv_L7	avVv_L8	K_L1	K_L2	K_L3	K_L4	K_L5	K_L6	K_L7	K_L8	Cv_L1	Cv_L2	Cv_L3	Cv_L4	Cv_L5	Cv_L6	Cv_L7	Cv_L8	ha_L1	ha_L2	ha_L3	ha_L4	ha_L5	ha_L6	ha_L7	ha_L8	av_L1	av_L2	av_L3	av_L4	av_L5	av_L6	av_L7	av_L8
300	56.1599252	98.9688866	115.201826	115.82868	113.59588	113.174608	113.106438	113.448616	3159.41066	9816.2212	13311.4776	13465.7742	12956.5278	12861.0388	12845.2166	12924.2498	-20272.605	-56067.7802	-56706.5348	-49921.967	-47726.629	-47177.8342	-47199.4926	-47515.4522	-360.582276	-565.516326	-490.809336	-429.227348	-418.24948	-414.97371	-415.42012	-416.894756	312.49802	541.72775	164.751272	0.90984564	-22.3184628	-25.5193854	-24.6750964	-24.1189136	367.906878	482.739164	168.447396	7.08792894	-24.0436486	-25.340204	-23.1769626	-23.5428922	306.257348	333.506152	154.360742	12.0552462	-16.1857352	-27.6866496	-25.1555416	-23.7545518	328.887416	452.657692	162.519804	6.68434032	-20.8492822	-26.18208	-24.3358666	-23.8054526	361.6354661	735.0211229	1010.544295	1153.148651	1173.64417	1175.810833	1175.441861	1180.994647	6.510085505	5.175728325	3.74689182	3.062675056	2.776705088	2.75388998	2.771492473	2.709771757	5.151319855	8.125846611	7.984984992	5.25090735	5.307685839	5.344112217	5.415561836	5.452229474	-44.21236839	-50.67765268	-43.88645656	-44.35603868	-43.9004223	-43.30858316	-43.60042002	-43.73421877	-120.0356476	-125.8102497	-28.41283483	104.9492333	107.6117827	101.9309643	104.9182016	108.8594612
310	55.6971096	97.15297	110.161346	106.440206	103.98654	103.73432	103.87939	103.640248	3106.70988	9460.85898	12179.723	11391.186	10878.8778	10827.8432	10855.0002	10806.2424	-20698.9018	-54378.6686	-50072.7786	-41107.8708	-38857.6594	-38473.14	-38562.1376	-38333.371	-371.301792	-558.699566	-452.842312	-383.842346	-371.122386	-368.282226	-368.723126	-367.348104	375.76089	512.745776	95.6856182	-38.4677902	-59.5973522	-62.0557624	-63.646117	-64.2135836	369.845576	448.112652	118.325816	-38.4139246	-60.3691818	-63.1161922	-61.4957522	-61.6195606	310.33658	311.444364	108.3778844	-27.5675786	-58.4720812	-63.9663734	-62.7810258	-63.2574886	351.981016	424.100932	107.4631054	-34.816431	-59.4795384	-63.0461094	-62.640965	-63.0302112	363.1697639	750.1354587	1002.305491	1124.14915	1146.397944	1177.676386	1180.864964	1189.925075	7.973840101	4.972677833	3.205265667	2.144785474	1.92209626	1.874069115	1.966178972	1.93095182	4.539940713	6.647520312	6.609706373	5.016518363	5.163019133	5.175165477	5.162507848	5.264010479	-43.58393346	-48.64789773	-45.38200673	-43.25944691	-43.00146567	-42.63642	-42.88962219	-42.57330853	-104.6763432	-147.9591725	26.38041553	143.3794959	158.0075813	158.946165	160.4340362	156.5667775
320	55.9748978	95.9539842	112.779512	111.193152	108.693622	108.188606	108.122008	108.105076	3138.3811	9228.49438	12758.682	12419.5822	11870.7744	11765.3246	11748.3458	11744.1906	-20322.7882	-53303.5552	-52338.7178	-44486.278	-42195.6382	-41677.6196	-41566.2574	-41559.6286	-362.686128	-554.389494	-462.629726	-398.079152	-386.114328	-382.98496	-382.299518	-382.31938	349.326066	517.488606	133.493014	-22.3310054	-38.4388476	-41.9760984	-41.447121	-42.4257056	388.407022	468.045936	131.3327812	-14.91643402	-38.8629282	-41.0993532	-42.8751762	-41.209954	329.22517	304.481618	121.9506614	-9.15739302	-35.3445956	-40.8760698	-42.4487242	-42.0903014	355.652754	430.005388	128.925484	-15.4682774	-37.5487902	-41.317174	-42.257007	-41.9086538	365.8303	728.3159925	998.7340578	1127.275873	1173.484439	1188.187151	1187.954611	1184.359479	7.272494188	5.202530919	3.884072813	2.676684335	2.521201616	2.329551964	2.429939817	2.450056568	4.696221323	8.851133941	8.531281809	4.911181492	4.959806746	5.049630647	5.086888752	5.111536095	-44.25078601	-55.65153632	-43.86635879	-42.01042698	-42.47641655	-42.26164615	-42.01105018	-41.79779504	-100.0901717	-76.27455539	8.157000205	102.9239079	121.159336	129.8156538	119.0150972	116.3184332
330	54.7024404	94.580739	110.42092	106.64031	103.696146	103.098968	102.803252	103.064216	3000.99986	8965.81704	12235.4556	11433.4832	10818.0144	10695.743	10632.3322	10690.8946	-19717.7298	-52002.123	-48867.5588	-40034.4406	-37508.432	-36925.1446	-36692.7192	-36916.7128	-359.859328	-548.780212	-440.982488	-373.111014	-359.22829	-355.60808	-354.473886	-355.558342	348.165092	521.879226	82.8667832	-36.8647474	-53.7860372	-55.0197288	-54.4193872	-55.8418332	380.98178	455.627664	100.8569218	-32.3988644	-53.7177522	-54.7902528	-54.1411996	-54.9530972	331.446288	316.103744	100.0124784	-23.5113872	-51.5271296	-55.2370254	-54.712419	-55.9393674	353.531054	431.203542	94.5787264	-30.9249998	-53.0103064	-55.015669	-54.4243354	-55.5780992	359.3519832	729.4572877	1007.045539	1109.406128	1155.310072	1173.155681	1169.536974	1175.224868	4.302725237	5.476203592	3.550644195	2.304496553	2.051986688	1.991056688	2.057884346	1.922595359	4.991592564	9.717745836	9.220114873	4.708675678	4.773761076	4.801577281	4.8535832	4.877451158	-39.32436518	-52.06648562	-42.71412609	-41.9501775	-41.18579821	-41.23245513	-41.11095495	-41.21357517	-193.8763531	-93.13956653	15.02817305	134.8654132	143.0733338	149.430371	141.3580648	154.0119663
340	55.2861776	95.2901678	111.311534	108.290176	105.757354	105.28067	105.466454	105.303262	3062.63262	9101.7583	12432.7794	11784.6112	11247.716	11147.9052	11184.503	11150.2034	-20367.2998	-52058.6436	-49488.8182	-41119.4702	-38775.4622	-38277.981	-38389.4534	-38247.662	-367.944916	-545.279974	-443.01268	-377.583456	-364.27555	-361.177794	-361.6948	-360.91439	361.925378	510.75968	120.763056	-22.7061198	-40.0159372	-43.22246	-43.1766332	-42.7231408	380.26681	454.436442	125.735196	-17.9872706	-41.0984296	-43.2533876	-42.6761324	-42.7970132	328.388722	324.790142	118.066654	-10.9224302	-39.5820724	-42.6445044	-42.976615	-43.3456332	356.860304	429.99542	121.521636	-17.2052734	-40.2321462	-43.0401174	-42.943127	-42.9552622	361.0892705	746.6769646	1021.759167	1136.50442	1138.24374	1138.21396	1148.673087	1147.322984	6.446336132	5.397083004	3.730972892	2.595588151	2.26964758	2.221502676	2.322247674	2.311436056	5.049151357	7.169161291	7.121375783	4.54986136	4.645779175	4.688733174	4.705819932	4.785021386	-43.75910783	-49.22068787	-43.45014378	-41.53599805	-41.33082649	-41.15001257	-40.98532891	-40.88347893	-113.6522707	-108.6994847	28.77825317	117.1782505	136.7019654	139.2166886	133.5545601	130.5031816
350	54.195491	93.9724132	108.793794	103.183074	99.6622792	98.646795	98.2636918	98.2126116	2943.52974	8851.4581	11879.1694	10712.2318	10008.6112	9807.8291	9732.30626	9724.12604	-19503.9802	-51389.349	-45798.7702	-36285.5374	-33501.3856	-32661.1402	-32355.1298	-32303.0344	-359.345994	-545.78933	-419.37835	-349.163066	-333.169734	-328.09123	-326.289082	-325.840198	374.196102	532.7469	59.2514898	-41.1986256	-52.3050858	-53.847763	-55.0847954	-55.516345	388.595632	464.546446	87.055183	-34.0282558	-53.4589418	-55.381744	-54.446203	-54.9031304	352.285488	316.026862	92.0047992	-25.8101346	-51.4863976	-54.1566712	-55.7854418	-54.3912324	371.692408	437.773402	79.4371574	-33.6790054	-52.4168084	-54.4620596	-55.1054802	-54.9369024	352.5010597	744.0072349	1075.752176	1171.401221	1211.609589	1210.183156	1181.673535	1163.533256	6.06946741	5.638409681	3.621405922	2.142976155	1.721688511	1.673628268	1.662515452	1.621478975	4.316744454	9.012833318	7.842816117	4.42890425	4.372343555	4.463831135	4.526102158	4.576979503	-48.76583716	-52.32157638	-41.40325094	-40.52698026	-40.08462972	-39.42902543	-38.96811837	-39.28858593	-92.09063737	-83.19342104	26.70759921	143.8766699	175.4577918	170.4363593	160.4716379	171.8963961
360	53.7108406	93.0940606	108.272884	101.79533	97.2493578	95.374098	94.1222404	93.9015068	2893.09356	8687.78022	11770.3866	10432.2108	9543.03086	9189.74124	8956.10016	8923.00278	-19271.0146	-50223.8324	-44937.5182	-34803.2544	-31352.294	-29959.2688	-29097.035	-28980.4472	-358.182414	-538.464042	-413.325742	-339.199646	-318.988608	-310.395946	-305.207506	-304.373456	373.141522	526.394214	64.5116232	-40.8692704	-51.255375	-53.3695328	-52.547712	-52.3704148	376.558622	455.990956	89.5020124	-33.4466134	-50.9837552	-53.6754074	-52.3911222	-52.6221646	346.661078	323.869798	93.2558832	-26.6999844	-50.195013	-53.7020276	-54.0192726	-53.4719842	365.45374	435.418322	82.4231724	-33.671956	-50.811381	-53.5823226	-52.9860358	-52.8215212	352.5493622	708.6412677	969.5595714	1053.831006	1088.694441	1095.913506	1088.23979	1092.76711	4.74698459	5.522412862	3.355215474	2.009191721	1.497996663	1.318623935	1.236870584	1.132998376	4.625296655	8.248157313	7.766543363	4.313421403	4.317305767	4.31548054	4.480854092	4.505253649	-41.09525171	-47.65480048	-39.91462093	-40.16283595	-39.33181002	-38.59851218	-38.75959999	-38.37544782	-150.3088982	-109.7494802	17.51265344	157.2344247	199.2366965	207.3278245	227.2657332	235.8826187
370	52.4024372	92.6508788	108.13523	101.2973	97.511441	96.0961694	95.1265458	94.9300008	2752.88794	8604.36784	11738.037	10329.0252	9587.50286	9320.41028	9133.80772	9097.6621	-18377.2176	-50876.5886	-43325.7582	-33944.9816	-31119.5154	-30085.3244	-29376.0548	-29225.6848	-350.196466	-548.168122	-399.022994	-332.51552	-316.047652	-309.6894	-305.445442	-304.456278	377.866332	564.715906	30.7315108	-41.1573318	-47.4205454	-48.3502672	-49.9620752	-48.9168572	380.328796	475.925286	66.8602784	-31.546142	-48.023181	-48.9772084	-48.3689112	-50.5635754	361.65233	343.035496	81.122668	-24.1514264	-47.891224	-49.0648742	-49.5129182	-49.9423816	373.282486	461.225562	59.5714858	-32.284967	-47.7783168	-48.7974498	-49.2813018	-49.8076048	338.4334455	726.0242203	1048.133978	1131.910169	1146.512951	1145.948785	1166.294961	1184.1797	5.567541144	5.926528368	3.636177182	2.106279205	1.676643709	1.497306285	1.487819223	1.460836687	3.86955957	6.549945867	5.764970924	4.153201682	4.200762945	4.239770229	4.346049175	4.352058474	-38.75642971	-45.4309372	-40.4293378	-38.97811623	-38.38711465	-38.05065916	-37.96670459	-37.84116584	-130.0337817	-120.4694591	41.03786833	142.0277703	169.5151246	184.4598628	184.6131933	185.0130734
380	52.5493802	93.398322	108.942312	103.58635	95.4465958	83.8314806	70.846839	60.6585222	2770.71406	8747.26738	11914.89	10806.405	9276.54892	7378.86516	5471.3907	4043.60238	-18499.8642	-50416.645	-43935.2444	-35176.115	-29517.9878	-23003.1622	-16729.7828	-12111.51762	-351.183782	-538.560706	-401.560808	-336.758676	-302.736154	-259.417848	-214.208258	-179.669494	356.666154	555.960964	67.9075214	-18.704702	-32.37086	-32.6990026	-29.7997146	-26.6201472	373.844926	471.945026	97.6715382	-13.05307532	-31.99414	-33.4070604	-29.0528796	-26.6930306	360.904814	352.873434	108.0000648	-5.94578314	-29.5271478	-30.0482816	-28.9078468	-27.2589958	363.805302	460.25981	91.1930428	-12.56785338	-31.2973828	-32.0514484	-29.2534802	-26.8573912	349.0215958	753.1790878	1051.043478	1362.148383	1582.379408	1427.849742	1342.71576	1142.0489	4.259903091	5.196946486	3.655503513	2.013222438	0.78302286	0.286406	0.158872615	0.144599268	4.424897866	7.530102267	6.805168423	3.771167102	3.904714198	4.081959279	4.247778312	4.411475928	-52.09211134	-50.8798367	-41.07891525	-38.38614632	-37.10337271	-35.12927229	-33.43097797	-32.0782403	-99.1139675	-81.06834548	54.96725504	149.7733605	345.3666255	700.9327308	914.3221146	765.974492
390	51.8028218	91.4231738	106.401388	98.3811458	93.097524	90.669081	89.5507106	88.8429958	2690.90544	8380.8548	11370.4674	9757.76268	8761.40194	8329.13386	8131.59662	8004.3009	-18153.1358	-48727.2442	-41229.5224	-31065.6172	-27429.627	-25791.2878	-25102.0232	-24651.538	-349.874324	-531.853666	-385.628638	-312.71001	-290.899926	-280.08411	-275.758124	-272.938734	363.546562	553.426124	47.3087252	-34.7474424	-43.4787652	-43.672102	-43.8986786	-44.0244072	375.949376	452.80719	77.171836	-27.8736152	-42.9476682	-44.4232682	-43.8447966	-44.1303934	349.666022	347.762968	89.5492274	-19.5459902	-41.5900868	-45.2762912	-44.6408942	-45.1089954	363.053984	451.332092	71.3432636	-27.3890158	-42.6721734	-44.4572206	-44.1281232	-44.4212652	357.3532742	764.7601219	1090.824965	1311.57833	1328.050327	1224.760157	1200.669019	1142.276716	5.345596372	5.417866748	3.378799067	1.80142092	1.350579999	1.115380724	1.04912106	1.042295514	4.104473459	7.067588672	6.754399522	3.932763604	3.934293663	4.035974846	4.078041365	4.118501296	-39.83757103	-47.59512282	-40.65371225	-38.02146057	-36.23491974	-36.05618683	-35.65229086	-35.54537722	-126.4774508	-99.71428434	61.8103259	167.9404885	187.9515123	225.1175344	228.0754838	226.7479635
400	51.5295904	91.7544428	106.068858	98.1787434	92.0545776	87.3281148	82.739827	79.087397	2663.0357	8441.09926	11300.403	9724.92168	8591.29922	7769.45072	7010.78192	6410.50568	-18028.6342	-49071.3258	-40266.416	-30532.8282	-26443.4038	-23586.944	-21060.2958	-19074.4414	-349.324908	-533.739442	-377.789578	-307.684482	-282.555882	-264.22254	-247.539056	-234.40418	366.633354	575.187812	40.452538	-30.121167	-38.152229	-37.7051212	-38.6620582	-37.513279	371.619084	464.011714	72.2080534	-22.8886348	-38.1017746	-38.8017526	-37.9504176	-36.9817356	358.44243	356.427936	90.0488074	-14.9131102	-36.6886668	-38.3651442	-39.1173926	-37.9962144	365.564956	465.209152	67.5697998	-22.6409708	-37.6475568	-38.2906726	-38.5766228	-37.4970762	329.8211755	731.877048	1043.484769	1175.032825	1151.176548	1153.720858	1091.997715	1113.039759	5.169809026	5.707100963	3.40312373	1.691214222	1.08867364	0.801945226	0.625367425	0.605187866	3.886696421	6.268780509	5.548747628	3.684569174	3.790476016	3.837041538	3.928095183	4.030095829	-35.72765022	-45.86067145	-39.03439072	-37.46737117	-36.19625247	-34.78392662	-33.90035535	-33.06327107	-139.4038544	-103.176272	51.79743981	178.1302686	248.4631247	285.117714	323.8602505	295.0107204
410	51.0514498	90.9493142	105.256892	96.3823296	91.271103	88.7488364	87.5393612	86.936405	2614.84684	8296.66656	11129.9884	9370.77238	8431.6721	7989.87882	7775.20642	7672.91882	-17899.8404	-47908.2296	-38927.8194	-28978.3026	-25599.7306	-24032.2668	-23278.1416	-22945.9656	-349.865752	-525.526658	-367.954426	-297.539324	-276.426264	-266.190446	-261.366678	-259.198652	398.425546	556.085348	33.7502522	-33.2796968	-36.7763246	-38.3971012	-38.5120006	-38.3902742	380.120062	465.180482	69.118323	-26.6146622	-38.008133	-37.3806242	-38.7376204	-39.1651646	358.736732	363.775958	91.005649	-18.3866984	-38.016252	-39.8065858	-38.2748154	-39.0974216	379.094116	461.680596	64.6247414	-26.0936856	-37.6002364	-38.5281036	-38.5081456	-38.8842868	336.8089563	753.4426279	1046.940673	1086.189282	1109.958685	1144.393676	1187.284641	1226.036732	4.681254443	5.131603688	3.355841468	1.766021339	1.270270431	1.071273456	1.055816971	1.014934976	4.489197186	6.290696958	5.35060653	3.622023268	3.691626631	3.760198231	3.827267085	3.86529792	-45.95787333	-46.18744665	-38.60175818	-36.11755882	-35.52057825	-34.76470425	-34.17013825	-34.67892859	-108.1822124	-102.0064096	56.93558865	155.1143146	207.0664021	227.5040124	216.9656659	238.0303522
